step,elapsed_sec,lr,train_loss,val_loss
250,105.5,0.000300,3.1171,
250,105.5,,,2.9891
50,41.7,0.000080,5.5904,
300,150.8,0.000300,2.9534,
100,81.9,0.000153,3.8910,
350,189.4,0.000300,2.8252,
150,122.4,0.000227,3.5153,
200,151.0,0.000300,3.3120,
250,170.3,0.000300,3.1171,
250,170.3,,,2.9891
300,191.6,0.000300,2.9533,
350,213.2,0.000299,2.8252,
400,234.8,0.000298,2.7152,
450,256.6,0.000298,2.6176,
500,277.8,0.000296,2.5517,
500,277.8,,,2.4954
550,301.8,0.000295,2.4883,
600,323.0,0.000294,2.4454,
650,343.6,0.000292,2.4084,
700,364.2,0.000290,2.3564,
750,385.5,0.000288,2.3318,
750,385.5,,,2.2949
800,411.0,0.000286,2.2890,
850,433.6,0.000284,2.2657,
900,457.7,0.000281,2.2445,
950,482.0,0.000278,2.2115,
1000,510.1,0.000275,2.1862,
1000,510.1,,,2.1819
1050,537.6,0.000272,2.1667,
1100,565.1,0.000269,2.1439,
1150,589.7,0.000266,2.1224,
1200,615.1,0.000262,2.1058,
1250,640.1,0.000259,2.0830,
1250,640.1,,,2.0996
1300,669.0,0.000255,2.0851,
1350,693.3,0.000251,2.0594,
1400,718.6,0.000247,2.0483,
1450,744.8,0.000243,2.0340,
1500,770.0,0.000238,2.0193,
1500,770.0,,,2.0413
1550,797.2,0.000234,2.0082,
1600,822.8,0.000229,1.9976,
1650,850.3,0.000225,1.9880,
1700,876.1,0.000220,1.9872,
1750,905.1,0.000215,1.9714,
1750,905.1,,,1.9985
1800,936.1,0.000211,1.9482,
1850,962.6,0.000206,1.9372,
1900,990.1,0.000201,1.9369,
1950,1018.7,0.000196,1.9238,
2000,1047.8,0.000191,1.9168,
2000,1047.8,,,1.9660
2050,1077.5,0.000186,1.9154,
2100,1101.8,0.000180,1.9055,
2150,1127.9,0.000175,1.8973,
2200,1156.0,0.000170,1.8848,
2250,1186.3,0.000165,1.8760,
2250,1186.3,,,1.9359
2300,1214.7,0.000160,1.8761,
2350,1239.7,0.000155,1.8636,
2400,1264.8,0.000150,1.8500,
2450,1290.7,0.000144,1.8520,
2500,1315.5,0.000139,1.8562,
2500,1315.5,,,1.9116
2550,1344.6,0.000134,1.8530,
2600,1374.4,0.000129,1.8300,
2650,1402.6,0.000124,1.8210,
2700,1429.7,0.000119,1.8282,
2750,1455.5,0.000115,1.8169,
2750,1455.5,,,1.8901
2800,1483.7,0.000110,1.8209,
2850,1512.8,0.000105,1.8105,
2900,1540.6,0.000101,1.7999,
2950,1568.1,0.000096,1.7972,
3000,1595.2,0.000092,1.7886,
3000,1595.2,,,1.8778
3050,1625.7,0.000087,1.7856,
3100,1652.1,0.000083,1.7784,
3150,1680.6,0.000079,1.7831,
3200,1706.0,0.000075,1.7696,
3250,1731.3,0.000071,1.7836,
3250,1731.3,,,1.8665
3300,1758.8,0.000068,1.7706,
3350,1783.5,0.000064,1.7701,
3400,1808.3,0.000061,1.7666,
3450,1833.6,0.000058,1.7572,
3500,1856.4,0.000055,1.7570,
3500,1856.4,,,1.8571
3550,1883.2,0.000052,1.7563,
3600,1907.0,0.000049,1.7508,
